system,case_id,split,query,response,predicted_refusal,expected_refusal,accuracy_hit,retrieval_hit,text_similarity,latency_ms,source_titles
internal_rag,event_summary_001,event_summary,请根据知识库概括这件事的核心内容：2023年7月20日，应急管理部、财政部联合下发《因灾倒塌、损坏住房恢复重建救助工作规范》的通知，规范倒损住房恢复重建救助相关工作。,应急管理部与财政部联合下发关于印发《因灾倒塌、损坏住房恢复重建救助工作规范》的通知。 规范了倒损住房恢复重建救助的相关工作流程和资金管理方式。 地方政府负责落实倒损住房恢复重建救助工作，中央财政给予适当补助。 倒损住房恢复重建补助资金实行专账管理和单独核算，采取“自主申请、不建不补； 逐户统计、发放到户”的方式。,0,0,0,1,0.4104,7.08,CRUD_DOC_00001_2023-07-20 10:02， 本报讯 近日，应急管理部、财政部联合
internal_rag,event_summary_002,event_summary,请根据知识库概括这件事的核心内容：2022年7月21日至23日，日本岸田内阁的支持率在读卖新闻社的民调中下降6个百分点至35%，创就职以来的新低，不支持率上升至52%。,2022年7月21日至23日，日本岸田内阁的支持率在读卖新闻社的民调中降至35%，为就职以来新低，下降了6个百分点。 同时，不支持率上升至52%。,0,0,0,1,0.1667,2253.24,CRUD_DOC_00002_07/25 07:11， 据日本《读卖新闻》7月24日报道，读卖新闻社7 | CRUD_DOC_01115_2023-08-09 00:15， 8月8日，在江苏连云港港，进港货轮缓 | CRUD_DOC_00854_中国经济网北京8月3日讯 赛科希德(688338.SH)今日收报33.5
internal_rag,event_summary_003,event_summary,请根据知识库概括这件事的核心内容：2023年8月15日，天津市静海区台头镇清北地区北围埝上的应急抢险队在大清河洪水红色预警生效中进行堤坝风险排查和人民生命财产安全保障。,2023年8月15日，在天津市静海区台头镇清北地区北围埝上，应急抢险队在大清河洪水红色预警生效期间，顶着烈日巡护、排查堤坝风险，确保洪水顺利下泄和人民群众生命财产安全。,0,0,0,1,0.6124,2042.25,CRUD_DOC_00003_2023-08-15 19:12:54， 8月15日，应急抢险队在天津市 | CRUD_DOC_00315_2023-08-07 08:02， 记者昨日从天津市水务局获悉，8月6日
internal_rag,event_summary_004,event_summary,请根据知识库概括这件事的核心内容：2023年8月16日，湖北省35个县市出现35℃以上高温，并预计未来三天高温将持续，局部地区可能有阵雨或雷阵雨，咸宁及其他强降水区域可能发生地质灾害。,2023年8月16日，湖北省内35个县市出现了35℃以上的高温天气。 预计未来三天省内大部分地区将以晴到多云的天气为主，高温将持续发展，局部地区可能出现阵雨或雷阵雨。 此外，咸宁及其他强降水区域发生崩塌、滑坡、泥石流等地质灾害的风险较大。,0,0,0,1,0.5063,2127.59,CRUD_DOC_00004_2023-08-16 14:26:26， 截至昨天（15日）下午3点全省
internal_rag,event_summary_005,event_summary,请根据知识库概括这件事的核心内容：2023年8月15日，湖北十堰市公安局南水北调水源区生态环境警察支队在十堰市生态环境保护综合执法支队办公楼正式挂牌。,2023年8月15日，湖北十堰市公安局南水北调水源区生态环境警察支队在十堰市生态环境保护综合执法支队办公楼正式挂牌。 该支队为市公安局内设正科级机构，主要负责侦办十堰市范围内的生态环境犯罪案件，并协助开展相关工作。,0,0,0,1,0.295,2208.38,CRUD_DOC_00005_2023-08-16 21:10:02， 极目新闻记者 胡迪凯通讯员 叶 | CRUD_DOC_00349_2023-08-15， 8月14日下午，山东省人民政府新闻办公室举行山东 | CRUD_DOC_00478_2023-08-11 08:15， 原标题：珠江流域（西江）环境资源司法
internal_rag,event_summary_006,event_summary,请根据知识库概括这件事的核心内容：2023年8月16日，韩国总统尹锡悦在光复节78周年纪念仪式上的演讲中，提出韩日两国为世界和平与繁荣作出贡献的观点，引发韩国国内的不满。,2023年8月16日，韩国总统尹锡悦在光复节78周年纪念仪式上强调了韩日合作的重要性，并表示两国作为安全和经济合作伙伴可以为世界和平与繁荣做出贡献。 这一言论引发了韩国国内的不满，特别是在野党共同民主党党首李在明对此表达了批评意见，认为不应与不反省过去的日本进行无差别军事合作。 同时，尹锡悦的讲话也受到了日本媒体的关注，被认为与以往历届总统的致辞有所不同。,0,0,0,1,0.3315,2338.06,CRUD_DOC_00006_08/16 13:51， 【环球网报道 见习记者 姜蔼玲】韩国总统尹锡悦
internal_rag,event_summary_007,event_summary,请根据知识库概括这件事的核心内容：2021年8月7日至11日，山西省团校阳泉学院举办了团山西省委书记张钧主持的学习贯彻习近平总书记在同团中央新一届领导班子成员集体谈话时的重要讲话精神和团十九大部署暨提升基层改革攻坚能力专题培训班。,2021年8月7日至11日，山西共青团在山西省团校阳泉学院举办了主题为学习贯彻习近平总书记在同团中央新一届领导班子成员集体谈话时的重要讲话精神和团十九大部署暨提升基层改革攻坚能力的专题培训班。 张钧主持了此次培训，并作主题报告。 培训内容聚焦深化学习习近平新时代中国特色社会主义思想，围绕青年工作的重要思想及考察调研山西重要讲话重要指示精神，贯彻落实山西省委关于高质量发展、现代化建设的部署要求和团十九大各项部署等内容。,0,0,0,1,0.5403,2370.45,CRUD_DOC_00007_， 本报讯（中青报·中青网记者 胡志中）8月7日至11日，山西共青团学习
internal_rag,event_summary_008,event_summary,请根据知识库概括这件事的核心内容：2023年7月27日，中国常驻联合国代表张军在联合国表示，希望安理会能够就完全解除对中非共和国的武器禁运采取进一步行动。,2023年7月27日，中国常驻联合国代表张军在联合国表示，希望安理会能够就完全解除对中非共和国的武器禁运采取进一步行动。 根据安理会当天通过的第2693号决议，决定将对中非的武器禁运延长一年至2024年7月31日。 中国和俄罗斯投了弃权票。 决议虽然决定安理会武器禁运措施和报备要求不再适用于中非安全部队，但未能完全满足中非关于解除武器禁运的要求。,0,0,0,1,0.634,2521.21,CRUD_DOC_00008_新华社联合国7月27日电 中国常驻联合国代表张军27日说，武器禁运已不适
internal_rag,event_summary_009,event_summary,请根据知识库概括这件事的核心内容：2023年7月21日，也门塔伊兹省，联合国世界粮食计划署的约旦籍工作人员穆阿耶德·哈梅迪在餐厅用餐时，遭不明身份枪手袭击，身中数枪后不治身亡。,2023年7月21日，也门塔伊兹省发生一起事件：联合国世界粮食计划署的一名约旦籍工作人员穆阿耶德·哈梅迪在餐厅用餐时遭到不明身份枪手袭击，身中数枪后不治身亡。,0,0,0,1,0.4032,1939.7,CRUD_DOC_00009_新华社开罗7月21日电（记者王尚）亚丁消息：也门政府21日说，一名联合国
internal_rag,event_summary_010,event_summary,请根据知识库概括这件事的核心内容：2023年9月7日至9月9日，外滩大会组委会将在上海世博园举办全球级金融科技大会“2023 inclusion·外滩大会”。,2023年9月7日至9月9日，外滩大会组委会将在上海世博园举办全球级金融科技大会“2023 inclusion·外滩大会”。 大会主题为“科技·创造可持续未来”，涵盖主论坛、见解论坛、科技展和绿色集市等多项活动。,0,0,0,1,0.2934,1832.84,CRUD_DOC_00010_记者：孙奇茹， 8月8日，外滩大会组委会宣布，全球级金融科技大会“202
